address,n_scored_trades,smart_money_score,grade,ic_1h,ic_4h,ic_8h,ic_24h,ic_recent_8h,icir_8h,ic_trend,ic_trend_direction,rolling_ic_values,display_name,pnl_alltime,pnl_month,rank,smart_money_rank
0xa312114b5795dff9b8db50474dd57701aa78ad1e,5,0.0,INSUFFICIENT_DATA,,,,,,,,,,,93697358.053022,30384.727085,13,11
0x716bd8d3337972db99995dda5c4b34d954a61d95,0,0.0,UNKNOWN,,,,,,,,,,,94313962.744855,12821827.565227,12,12
0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,85206050.846451,-11.503549,14,13
0x35d1151ef1aab579cbb3109e69fa82f94ff5acb1,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,56624419.901201,-221732.351659,26,14
0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0,0.0,UNKNOWN,,,,,,,,,,,138585789.988763,452789.601005,6,15
0x20c2d95a3dfdca9e9ad12794d5fa6fad99da44f5,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,121616625.613965,-1012201.5106739999,7,16
0x2ea18c23f72a4b6172c55b411823cdc5335923f4,0,0.0,UNKNOWN,,,,,,,,,,,106341324.52,0.0,10,17
0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0,0.0,UNKNOWN,,,,,,,,,,,97508580.881052,0.00106,11,18
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,32589158.642278,6233269.510992,49,19
0x418aa6bf98a2b2bc93779f810330d88cde488888,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,33277218.648499,-1737177.903803,48,20
0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0,0.0,UNKNOWN,,,,,,,,,,,34649361.334032,5423001.315183,46,21
0xda3cdff67ce27fa68ba5600a7c95efd8153d9f15,0,0.0,UNKNOWN,,,,,,,,,,,43348850.875619,0.001275,36,22
0x56498e5f90c14060499b62b6f459b3e3fb9280c5,0,0.0,UNKNOWN,,,,,,,,,,,38668475.186715,1057.469915,40,23
0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,憨巴小龙,58503269.205853,-2563688.96029,25,24
0x656c8da58d738295e03550796dd83900aa7c6525,0,0.0,UNKNOWN,,,,,,,,,,,56137741.16015,17451.695024,27,25
0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,0.0,UNKNOWN,,,,,,,,,,,64697561.21491,12340965.916716,20,26
0x13c50dcdee4bbcba71baf578b345cdd35c7928be,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,51045105.597129,8773842.613818,30,27
0x7dacca323e44f168494c779bb5e7483c468ef410,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,47980585.922368996,6842672.414953,32,28
0x87f9cd15f5050a9283b8896300f7c8cf69ece2cf,0,0.0,UNKNOWN,,,,,,,,,,,51310086.220516026,7009856.712838002,29,29
0x0d446c3372a9ba9cddef0eef7a1afab6dc0e8c0b,0,0.0,UNKNOWN,,,,,,,,,,,51694218.450491,0.0,28,30
0x03b9a189e2480d1e4c3007080b29f362282130fa,0,0.0,UNKNOWN,,,,,,,,,,,47490665.611157015,8702023.116856,33,31
