address,n_scored_trades,smart_money_score,grade,display_name,pnl_alltime,pnl_month,rank,ic_1h,ic_4h,ic_8h,ic_24h,ic_recent_8h,icir_8h,ic_trend,ic_trend_direction,rolling_ic_values,smart_money_rank
0x523852be2db1a76a0e088ecbff32e849544054e5,966,0.3267,TIER_2,perpfumbler,6223600.457115,940164.944398,149,-2.3907,-0.4986,0.4005,0.2626,0.4005,0.7273,-0.000217,DETERIORATING,"[0.4002890032975293, 0.400315573701709, 0.40034223071875824, 0.4003689740475812, 0.4003958033883204, 0.40042271844235033, 0.40044971891227166, 0.40047680450190437, 0.40050397491628215, 0.40053122986164635]",21
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,913,0.3226,TIER_2,,7511159.65,170460.34,198,0.2987,0.4438,0.4545,-0.6643,0.4545,-0.1338,0.001332,IMPROVING,"[0.44193963024127364, 0.4432096620780408, 0.44447699987599965, 0.44574165879160926, 0.44700365384860424, 0.44826299993955165, 0.4495197118273854, 0.4507738041469177, 0.45202529140632886, 0.4532741879886358]",22
0xa10ec245b3483f83e350a9165a52ae23dbab01bc,1152,0.3098,TIER_2,,3543790.487703,1067.055109,169,-0.0037,-0.012,0.43,-0.3392,0.43,0.2464,-0.000757,DETERIORATING,"[0.43248467813767394, 0.4319516233751315, 0.4315238800823916, 0.4310935437508441, 0.43066398754100504, 0.43023520887982947, 0.42980720520630256, 0.4293833294565073, 0.42900019342491946, 0.4286588555216888]",23
0x6f31fef250a34a025f7784a2e3a02b4921b30394,522,0.3017,TIER_2,ibench240,231650.675408,15373.176123,40,0.3696,0.2659,0.2866,0.5242,0.2996,1.6147,-0.001182,DETERIORATING,"[0.4708242420632591, 0.4700684053632215, 0.46928085279488996, 0.4684930340591801, 0.4677101396959667, 0.46693212088259745, 0.4632437944196956, 0.46600830849977554, 0.46141784521502144, 0.45934222956010046]",24
0x612ca98c658c7a2de1f239a1d2a9e18c356e724a,578,0.2982,TIER_2,,1938192.379251,35241.195831,48,0.1336,0.1085,0.3853,0.4082,0.3853,0.4343,-4.7e-05,DETERIORATING,"[0.38593962787092756, 0.38590977602994564, 0.38587880581446243, 0.38584821142897036, 0.3858165001946984, 0.3857851637786457, 0.38575271203921396, 0.38572063411955776, 0.38568892807680266, 0.3852829267533756]",25
0xd28e005c992b168d0b20fca312958e105bb260ab,917,0.2721,TIER_2,,1129286.776542,283124.36181,75,0.0779,-0.0024,0.2681,-0.0908,0.2681,1.4841,-0.001447,DETERIORATING,"[0.27991264892286716, 0.2785812052030543, 0.27725495647487264, 0.27593257379105673, 0.27461532503089786, 0.27330317646104474, 0.27199609468665603, 0.27069404664700336, 0.2693969996111448, 0.2681049211736668]",26
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,74,0.2194,TIER_3,shibal,1970577.636083,1247.468447,167,-0.0272,0.1865,0.1412,0.0522,0.2543,1.8521,-0.004817,DETERIORATING,"[0.13873826001215317, 0.1386193227401259, 0.13850103019902016, 0.13839198967577615, 0.13829181989632772, 0.13820015956174492, 0.1381080461098061, 0.13887844611191938, 0.13964482983682489, 0.14124727920636732]",27
0x807a2e2e469df84b299da5f90f15dda4380daca1,311,0.2191,TIER_3,,23759556.386121,3026086.606495,73,-1.2876,-0.077,0.3301,1.2267,0.3301,-0.9359,0.005046,IMPROVING,"[0.2918439711671939, 0.29620924888428124, 0.3005362867290566, 0.30482592912429357, 0.30912756715152234, 0.3133922044920574, 0.3176206487621005, 0.32181368072007877, 0.3259720554461406, 0.33009650345782354]",28
0x97f20f91c18093c7f738a00ffabc03eea04ec668,411,0.2154,TIER_3,,3489630.410588,9789.227351,181,-0.0834,0.0735,0.1577,0.592,0.1577,1.36,0.001432,IMPROVING,"[0.16300568740630336, 0.16450005202488366, 0.1659403477514702, 0.16740312897654955, 0.16876224703456316, 0.16973962810867496, 0.1706478476379842, 0.17151482480174796, 0.17341105490266837, 0.17028742119592524]",29
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,928,0.2094,TIER_3,,18772493.449476,3084797.312811,113,-0.2074,0.1404,0.2928,0.7728,0.1822,0.5383,0.001277,IMPROVING,"[0.1149735846956243, 0.11697096557551331, 0.11896077705739412, 0.1209430860333817, 0.12291795851413594, 0.12488545964411044, 0.12464041485942529, 0.12439595136687921, 0.12415206651341244, 0.12390875766328908]",30
